//File size, compression time (seconds), uncompression time (seconds)
296814	0.23	0.306
593582	0.418	0.595
890593	0.617	0.895
1187246	0.822	1.202
1484320	1.026	1.508
1781052	1.229	1.816
2077955	1.426	2.105
2374510	1.643	2.422
2671575	1.857	2.719
2968492	2.054	3.033
3265258	2.276	3.306
3561852	2.446	3.594
3858976	2.649	3.924
4155428	2.861	4.218
4453083	3.046	4.521
4749555	3.283	4.821
5046459	3.483	5.13
5342782	3.712	5.421
5640022	3.905	5.719
5936634	4.086	6.034
6233598	4.305	6.469
6530820	4.574	6.647
6827532	4.737	6.983

